apec1.kT apec1.Abundanc apec1.norm
1.306958747636819185e+00 4.269328749503795151e-02 2.707845875781760281e+00
1.209171644791406486e+00 2.162224650938000467e-02 2.661769167078803289e+00
1.486702478933066507e+00 1.158325065953350053e-01 1.843834543429514472e+00
1.396543783981394560e+00 1.759219305668707767e-01 1.965638863579175277e+00
1.244731557588994120e+00 2.781128743122064650e-03 2.434261181121503803e+00
1.400887929940212606e+00 2.203952681853084128e-01 1.706393415091866927e+00
1.470606265885568087e+00 9.411004406962074353e-02 2.103947282613583880e+00
1.554075010251489974e+00 2.048482756682052097e-01 1.812780264125731122e+00
1.593811516189664212e+00 1.446815593066698158e-01 1.919171158083717632e+00
1.324779607561717754e+00 1.572328021121903452e-01 1.660373520796988078e+00
1.589134672008046589e+00 1.207179413387304695e-01 1.893223360171148562e+00
1.150561613347255596e+00 1.611968327441658938e-03 2.947896997533784091e+00
1.542042857294213531e+00 5.065872418941623490e-02 2.303572774887197472e+00
1.264174969493417011e+00 1.393922786344827247e-01 2.117575476152627978e+00
1.171737510443128905e+00 2.433503907269141120e-02 2.620647827314040335e+00
1.095444272120993601e+00 1.840222567767068468e-02 3.048849260971206565e+00
1.497471600366892197e+00 3.019424852125069947e-01 1.397547740240663972e+00
1.386702436273967054e+00 2.368332813543909121e-01 1.709651998475663071e+00
1.346745374169532772e+00 2.525816046117013158e-02 2.833140154169879743e+00
1.240215186705901473e+00 9.645427873087696058e-02 2.049556949578409615e+00
1.245569020503762392e+00 3.381789289465114701e-02 3.129109429656791175e+00
1.616637042662578017e+00 2.825185226281801132e-01 1.433982352818570005e+00
1.545198353884513764e+00 1.776946970594427133e-01 1.617609755739855437e+00
1.579232785359066193e+00 2.947915012353933273e-01 1.700225857139692431e+00
1.307132585673759229e+00 1.964052500363296788e-02 2.337242531993456662e+00
1.559007742748026448e+00 8.174889888781441960e-02 1.940283072890804039e+00
1.457449451353000525e+00 1.588265284827643231e-01 1.903253348092256658e+00
1.689784621877159942e+00 2.468951516315474048e-01 1.683046978164437490e+00
1.318380959269708219e+00 1.597324215203325126e-01 1.987158698043445915e+00
1.575460546821743968e+00 1.287182704388373511e-01 1.825715483115112114e+00
1.282334703663403630e+00 1.520384700140367251e-01 1.781180003920471266e+00
1.688599559783292792e+00 9.048259131639951880e-02 1.853708634697280200e+00
1.226761857177576465e+00 8.885421248064989674e-02 2.006723466854810844e+00
1.833149626197829285e+00 7.733651951613672582e-01 1.227189875908219152e+00
1.380347685372878441e+00 2.021911244644125083e-01 1.531928369500405784e+00
1.792431220495125599e+00 5.832474359445374290e-01 9.030080013146110085e-01
1.177779157995290094e+00 4.168965664221452316e-03 2.919634281409686505e+00
1.531188010820651479e+00 2.160974641918377515e+00 5.043311987094730720e-01
1.289604769392062256e+00 2.232092629064729161e-01 1.672981809706491019e+00
1.423746808730082414e+00 3.096351898349725129e-02 2.696745548284988470e+00
1.607767341024046281e+00 1.401441248869386424e-01 1.835346887473158883e+00
1.767282929280694193e+00 5.181064233829475452e-01 1.197303310227291862e+00
1.394720401903536855e+00 1.657637475421041839e-01 1.802611494656429336e+00
1.680408451307356055e+00 4.653012535085259138e-01 1.190657614177887291e+00
1.432605727722106703e+00 6.806295833137188112e-02 1.929833359091953415e+00
1.480913541147066859e+00 1.835222066889377057e-01 1.956375667674224328e+00
1.863917369803454571e+00 2.179313244581929099e-01 1.599935270048777225e+00
1.396989281858511012e+00 1.076196964699426273e-01 2.064658142000241892e+00
1.250983966227693367e+00 1.532166037579223150e-01 1.879962489478372856e+00
1.636367111432284638e+00 2.977802652184496357e-01 1.836766814832309302e+00
1.689784621877159942e+00 2.468951516315474048e-01 1.683046978164437490e+00
1.508643393647608688e+00 7.458084375582597902e-02 2.017942620720531988e+00
1.744791220212518867e+00 4.872980767165157601e-01 1.245145307275342228e+00
1.281637651444656800e+00 1.663499954705627282e-01 1.770578848778348258e+00
1.458248663212809992e+00 2.083821825613787482e-01 1.764261623417192615e+00
1.297717758305585445e+00 7.109043842628119669e-02 2.102157270411438184e+00
1.156768699187368910e+00 2.967914445405003127e-02 2.478011048973031372e+00
1.495887480560578187e+00 2.893288200409028788e-01 1.588714813586394881e+00
1.482886046710202965e+00 1.809444658550527496e-01 2.147668652750475360e+00
1.380347685372878441e+00 2.021911244644125083e-01 1.531928369500405784e+00
1.520316261369913047e+00 9.514372096598652795e-02 2.147468447615522358e+00
1.146447545425890446e+00 8.887102003136873596e-02 2.334707055282069899e+00
1.374378123365064042e+00 7.984156534194428168e-02 1.894828145460470070e+00
1.686833696841328445e+00 2.185487723726412257e-01 1.803939911185447720e+00
1.221872430569146184e+00 1.511157965858667129e-01 1.976508428937624240e+00
1.125016923213870923e+00 4.579653535026541322e-02 2.914538112717049323e+00
1.304538233940156999e+00 6.357597040258597398e-02 2.216113231664373018e+00
1.724492775204409689e+00 5.201833083698487181e-01 1.359837020176190014e+00
1.318283598347196106e+00 1.158007836481013547e-01 1.926357740328185075e+00
1.767901521526188624e+00 5.973625747694234489e-01 1.193459379280493282e+00
1.274681564724819305e+00 7.747650630533141347e-02 2.268956518386860743e+00
1.256772165292354693e+00 1.042247533215806543e-01 2.082715736674554119e+00
1.291988236189367756e+00 1.939143408463880613e-01 1.852240498393759927e+00
1.769145156820613574e+00 4.396890529874006304e-02 2.114943308249107368e+00
1.299690976227961814e+00 6.252742498894474366e-02 2.133556095229554916e+00
2.185153227854882196e+00 2.158780140407723369e-01 1.410090723823675507e+00
1.716367246700277738e+00 1.984732201589009259e-01 1.754635859238853790e+00
1.447263154369396787e+00 1.190072749963985987e-01 1.762429781981341259e+00
1.168543346489022472e+00 5.425055950584876246e-02 2.647929719632251988e+00
1.275472372741813132e+00 1.883484044969104335e-02 2.730256997078789105e+00
1.417141922272604937e+00 1.316625865426430675e-01 2.168935556777636720e+00
1.579480796118152286e+00 1.165834107902646855e-01 2.093372766881521851e+00
1.364741150870058428e+00 1.768083674747254752e-01 1.754524295297318126e+00
1.529720780221507370e+00 6.227299766870902226e-02 2.092602714683757359e+00
1.297603633857833838e+00 1.520148742866234484e-02 2.562334518158115415e+00
1.289604769392062256e+00 2.232092629064729161e-01 1.672981809706491019e+00
1.405701178315033051e+00 9.273737665634960992e-02 2.086676955100024600e+00
1.487210409312690329e+00 1.600279426067369171e-01 1.703389262523972603e+00
1.565735325599773020e+00 1.195431260884341207e-01 1.726037113928601707e+00
1.624818207808929937e+00 4.022377759269178954e-01 1.125752245055209988e+00
2.043181510551420388e+00 4.588301955607438365e-01 1.265669351134179887e+00
1.844272121816458387e+00 3.035304891763566104e+00 3.932169427656898031e-01
1.279571395042856441e+00 1.297731194991542658e-01 2.260747048305603357e+00
1.583148854948196238e+00 4.438862670468229910e-01 1.274443795654723210e+00
1.237806495909412829e+00 6.363854349234007723e-02 2.021670904277233838e+00
1.264235916049729624e+00 1.103379581402032933e-01 1.769875868252263951e+00
1.805801187652799289e+00 1.762596153290334200e-01 1.844835808136672251e+00
1.568431377126773052e+00 3.196047638402032542e-01 1.373624551864935484e+00
1.789561847492916691e+00 9.274809119025972937e-01 1.061601827296452916e+00
1.217553518533064150e+00 1.323727162447481051e-02 2.535674721413941679e+00
1.867024172815699989e+00 3.011688196125041905e-01 1.413106516388620726e+00
1.377898867273480654e+00 2.538083496355049082e-02 2.414455810579586803e+00
1.198296201054575461e+00 7.875310730900648981e-02 2.218601123168048694e+00
1.377201530718313416e+00 8.049506088691280037e-02 2.039258879912775768e+00
1.198296201054575461e+00 7.875310730900648981e-02 2.218601123168048694e+00
1.390505030705067258e+00 1.630001094642289927e-01 1.712805845333973176e+00
1.333904579153753378e+00 5.133089545376095381e-02 2.432182622019670504e+00
1.234811795379747501e+00 1.678407112788595987e-02 2.824968763473392652e+00
2.142108604590609477e+00 6.070613416181797062e-01 1.169386745344016543e+00
1.158866513901459117e+00 2.011135578908316082e-02 3.107192403343204123e+00
1.264163028265451016e+00 5.280274285673697277e-02 2.204108330726608944e+00
2.228197500301059453e+00 2.988820944990544515e-01 1.364548810981866422e+00
1.219144388432597648e+00 1.839843622447646099e-01 1.913737459662934626e+00
1.298033765704533771e+00 1.805919608800631015e-01 1.886964270171495039e+00
1.593231795295076525e+00 7.949758916730831348e-01 8.995735961054116547e-01
1.493246607917019242e+00 1.747772687817825688e-01 1.729567518234238044e+00
1.449545942403708043e+00 1.160273509390123137e-01 2.058420109510887830e+00
1.350094166594397294e+00 9.315815362248594522e-02 1.990407349806958770e+00
1.580562629782363615e+00 2.217029910912458046e-01 1.641806556426498087e+00
2.004045304777348768e+00 5.460777690901159609e-01 1.263996691310855569e+00
1.528382855009660091e+00 1.552353753667936875e-01 1.932581843138772015e+00
1.761749057066202218e+00 2.519004005613071917e-01 1.569920348007778799e+00
1.698107796141452130e+00 6.518766165184886052e-02 1.940272981243532868e+00
1.328999799866912079e+00 1.984359876322472696e-02 2.411307047420908400e+00
1.735246690611620624e+00 2.735757980614030305e-01 1.513489157931423135e+00
1.769205879353516808e+00 3.097935790863384775e-01 1.788161875728236927e+00
1.332864460910784477e+00 4.590210387794377983e-02 2.384637678950992878e+00
2.058151174578640497e+00 8.523249468873769774e-02 1.643717854260852596e+00
1.301671379072357526e+00 1.108333634658441175e-01 1.867921761919590917e+00
1.383588143328972953e+00 9.404074462092190667e-02 2.257172765388476776e+00
1.628861257417047792e+00 3.545521521828643441e-01 1.588275594571978644e+00
1.408175206170369842e+00 6.874872614912722057e-02 2.281327080895791504e+00
1.619691079957583435e+00 2.518539456638713703e-01 1.528697611691086200e+00
1.258497267250163310e+00 5.917043230256623099e-02 2.616598846483279228e+00
1.249048069890693613e+00 8.985906374251236006e-02 2.354225281414374038e+00
1.794172857572350344e+00 4.404370715323384644e-01 1.383947043846437186e+00
1.260469815341819677e+00 1.810169102966046051e-01 1.696519540029678419e+00
1.494840045410775309e+00 2.533123655088259096e-01 1.267601730379027014e+00
1.452730992062320370e+00 1.412592703539338745e-01 2.100063092959511213e+00
1.318356609236435606e+00 1.523685412619315838e-01 1.666261897843029693e+00
1.535107089027802463e+00 8.397433907613133242e-01 8.721530593307891266e-01
