logz logzerr logvol nlive logl logwt insert_order
-8.930952092153558624e+03 9.429001958216321810e+00 -2.425000000000001599e-01 4.000000000000000000e+02 -8.891847493338127606e+03 -8.898082707624818795e+03 9.350000000000000533e-01
-8.898082707624818795e+03 2.258940109789944373e+01 -2.450000000000001621e-01 4.000000000000000000e+02 -8.869978928316340898e+03 -8.876216642603032597e+03 6.400000000000000133e-01
-8.876216642602714273e+03 1.054741933667222398e+01 -2.475000000000001643e-01 4.000000000000000000e+02 -8.851410594517581558e+03 -8.857650808804273765e+03 1.435000000000000053e+00
-8.857650808795624471e+03 1.555015971165721567e+01 -2.500000000000001665e-01 4.000000000000000000e+02 -8.743197049633427014e+03 -8.749439763920117912e+03 1.320000000000000062e+00
-8.749439763920117912e+03 6.144083933149812538e+01 -2.525000000000001688e-01 4.000000000000000000e+02 -8.728144672319982419e+03 -8.734389886606673826e+03 1.534999999999999920e+00
-8.734389886315655531e+03 4.866331971448277471e+01 -2.550000000000001710e-01 4.000000000000000000e+02 -8.714848199660782484e+03 -8.721095913947474401e+03 1.399999999999999911e+00
-8.721095912262859201e+03 5.208775025892666122e+01 -2.575000000000001732e-01 4.000000000000000000e+02 -8.617706415361330073e+03 -8.623956629648020680e+03 1.800000000000000044e+00
-8.623956629648020680e+03 7.545541686664023473e+01 -2.600000000000001754e-01 4.000000000000000000e+02 -8.592012626871850443e+03 -8.598265341158541560e+03 1.445000000000000062e+00
-8.598265341158534284e+03 8.013041707935363434e+01 -2.625000000000001776e-01 4.000000000000000000e+02 -8.583046454816972982e+03 -8.589301669103664608e+03 8.399999999999999689e-01
-8.589301541136395826e+03 3.960387949698519350e+01 -2.650000000000001799e-01 4.000000000000000000e+02 -8.572494716380773752e+03 -8.578752430667465887e+03 2.399999999999999911e-01
-8.578752404451019174e+03 6.054671615880706348e+00 -2.675000000000001821e-01 4.000000000000000000e+02 -8.566208317181175516e+03 -8.572468531467866342e+03 8.449999999999999734e-01
-8.572466667048000090e+03 3.191368916338448880e+00 -2.700000000000001843e-01 4.000000000000000000e+02 -8.548588646738988245e+03 -8.554851361025679580e+03 1.770000000000000018e+00
-8.554851361003304191e+03 1.069632078278413445e+01 -2.725000000000001865e-01 4.000000000000000000e+02 -8.482183078446632862e+03 -8.488448292733324706e+03 1.554999999999999938e+00
-8.488448292733324706e+03 3.324486792839270066e+01 -2.750000000000001887e-01 4.000000000000000000e+02 -8.452675616764750885e+03 -8.458943331051441419e+03 6.999999999999999556e-01
-8.458943331051441419e+03 2.767412402386750969e+01 -2.775000000000001910e-01 4.000000000000000000e+02 -8.431329030129307284e+03 -8.437599244415998328e+03 4.949999999999999956e-01
-8.437599244415461726e+03 1.574528753641010148e+01 -2.800000000000001932e-01 4.000000000000000000e+02 -8.426294724868270350e+03 -8.432567439154961903e+03 5.600000000000000533e-01
-8.432560933346738238e+03 1.771054751536176974e+00 -2.825000000000001954e-01 4.000000000000000000e+02 -8.390346519972083115e+03 -8.396621734258775177e+03 1.780000000000000027e+00
-8.396621734258775177e+03 1.581156708786237353e+01 -2.850000000000001976e-01 4.000000000000000000e+02 -8.372705714526684460e+03 -8.378983428813375212e+03 8.100000000000000533e-01
-8.378983428791509141e+03 8.184859744283198069e+00 -2.875000000000001998e-01 4.000000000000000000e+02 -8.371083585149264763e+03 -8.377363799435956025e+03 1.820000000000000062e+00
-8.377183169256457404e+03 6.087025741862401418e+00 -2.900000000000002021e-01 4.000000000000000000e+02 -8.365328360521525610e+03 -8.371611074808217381e+03 1.135000000000000009e+00
-8.371607279511545130e+03 7.460070244668615125e+00 -2.925000000000002043e-01 4.000000000000000000e+02 -8.359571690872517138e+03 -8.365856905159207599e+03 1.969999999999999973e+00
-8.365853728620215406e+03 9.109819072248903638e+00 -2.950000000000002065e-01 4.000000000000000000e+02 -8.330834679147308634e+03 -8.337122393433999605e+03 1.600000000000000089e+00
-8.337122393433999605e+03 1.944100925528724488e+01 -2.975000000000002087e-01 4.000000000000000000e+02 -8.300333414669212289e+03 -8.306623628955903769e+03 6.949999999999999512e-01
-8.306623628955903769e+03 2.773489495271844874e+01 -3.000000000000002109e-01 4.000000000000000000e+02 -8.292413170973146407e+03 -8.298705885259838396e+03 7.000000000000000666e-02
-8.298705521102952844e+03 2.862774980223009891e+01 -3.025000000000002132e-01 4.000000000000000000e+02 -8.281506659307233349e+03 -8.287801873593924029e+03 4.450000000000000067e-01
-8.287801855203062587e+03 4.750915971107586344e+00 -3.050000000000002154e-01 4.000000000000000000e+02 -8.209212453362652013e+03 -8.215510167649343202e+03 5.699999999999999512e-01
-8.215510167649343202e+03 3.396607886607514359e+01 -3.075000000000002176e-01 4.000000000000000000e+02 -8.040174101977902865e+03 -8.046474316264594563e+03 1.400000000000000133e-01
-8.046474316264594563e+03 9.232534097072310431e+01 -3.100000000000002198e-01 4.000000000000000000e+02 -8.028767775304797397e+03 -8.035070489591488695e+03 1.330000000000000071e+00
-8.035070478438825376e+03 6.679597364314980723e+01 -3.125000000000002220e-01 4.000000000000000000e+02 -8.010761969405409218e+03 -8.017067183692100116e+03 1.649999999999999911e+00
-8.017067183676920649e+03 5.464693405875148358e+01 -3.150000000000002243e-01 4.000000000000000000e+02 -8.009540266399629218e+03 -8.015847980686320625e+03 9.000000000000000222e-01
-8.015589110548489771e+03 8.430460264510086787e+00 -3.175000000000002265e-01 4.000000000000000000e+02 -7.997204177255355717e+03 -8.003514391542046724e+03 1.004999999999999893e+00
-8.003514385840207979e+03 5.810613462651527783e+00 -3.200000000000002287e-01 4.000000000000000000e+02 -7.986848298249319669e+03 -7.993161012536011185e+03 8.000000000000000444e-01
-7.993160980651468890e+03 3.975840381409884827e+00 -3.225000000000002309e-01 4.000000000000000000e+02 -7.953023116468662920e+03 -7.959338330755354036e+03 1.445000000000000062e+00
-7.959338330755354036e+03 1.523256968587501170e+01 -3.250000000000002331e-01 4.000000000000000000e+02 -7.943025680024542453e+03 -7.949343394311234078e+03 1.469999999999999973e+00
-7.949343348681877615e+03 4.306084029264007462e+00 -3.275000000000002354e-01 4.000000000000000000e+02 -7.941813115443783317e+03 -7.948133329730474543e+03 1.780000000000000027e+00
-7.947872357489633032e+03 3.452282319983213998e+00 -3.300000000000002376e-01 4.000000000000000000e+02 -7.934968267728316277e+03 -7.941290982015008012e+03 1.955000000000000071e+00
-7.941289597032882739e+03 3.455882768519976000e+00 -3.325000000000002398e-01 4.000000000000000000e+02 -7.932540996330023518e+03 -7.938866210616714852e+03 7.199999999999999734e-01
-7.938781298857994443e+03 4.147548547942657926e+00 -3.350000000000002420e-01 4.000000000000000000e+02 -7.891206073914897388e+03 -7.897533788201588322e+03 1.209999999999999964e+00
-7.897533788201588322e+03 1.749757243561288078e+01 -3.375000000000002442e-01 4.000000000000000000e+02 -7.862463693835195954e+03 -7.868793908121887398e+03 1.639999999999999902e+00
-7.868793908121887398e+03 2.070142359483682171e+01 -3.400000000000002465e-01 4.000000000000000000e+02 -7.831315534903881598e+03 -7.837648249190572642e+03 9.350000000000000533e-01
-7.837648249190572642e+03 3.441258226095347084e+01 -3.425000000000002487e-01 4.000000000000000000e+02 -7.802293436087582450e+03 -7.808628650374274002e+03 1.479999999999999982e+00
