16:01:18 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs_basic/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:01:18 [ultranest] [INFO] Sampling 400 live points from prior ...
16:01:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
16:01:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:01:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:01:24 [ultranest] [DEBUG] iteration=680, ncalls=1423, logz=-2150.05, remainder_fraction=100.0000%, Lmin=-2132.68, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=695, ncalls=1457, logz=-2083.10, remainder_fraction=100.0000%, Lmin=-2069.76, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=707, ncalls=1489, logz=-2040.54, remainder_fraction=100.0000%, Lmin=-2030.01, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=712, ncalls=1507, logz=-2027.18, remainder_fraction=100.0000%, Lmin=-2012.09, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=720, ncalls=1526, logz=-1947.89, remainder_fraction=100.0000%, Lmin=-1936.86, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=732, ncalls=1553, logz=-1909.15, remainder_fraction=100.0000%, Lmin=-1886.25, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=743, ncalls=1591, logz=-1835.35, remainder_fraction=100.0000%, Lmin=-1828.00, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=757, ncalls=1626, logz=-1769.88, remainder_fraction=100.0000%, Lmin=-1760.99, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=760, ncalls=1634, logz=-1766.03, remainder_fraction=100.0000%, Lmin=-1739.66, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=773, ncalls=1670, logz=-1695.70, remainder_fraction=100.0000%, Lmin=-1685.30, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=787, ncalls=1701, logz=-1633.26, remainder_fraction=100.0000%, Lmin=-1621.60, Lmax=-147.54
16:01:25 [ultranest] [DEBUG] iteration=800, ncalls=1734, logz=-1578.61, remainder_fraction=100.0000%, Lmin=-1567.25, Lmax=-147.54
16:01:26 [ultranest] [DEBUG] iteration=812, ncalls=1767, logz=-1523.39, remainder_fraction=100.0000%, Lmin=-1513.96, Lmax=-147.54
16:01:26 [ultranest] [DEBUG] iteration=821, ncalls=1803, logz=-1496.42, remainder_fraction=100.0000%, Lmin=-1488.09, Lmax=-147.54
16:01:26 [ultranest] [DEBUG] iteration=835, ncalls=1837, logz=-1429.62, remainder_fraction=100.0000%, Lmin=-1419.67, Lmax=-139.93
16:01:26 [ultranest] [DEBUG] iteration=840, ncalls=1848, logz=-1417.39, remainder_fraction=100.0000%, Lmin=-1396.51, Lmax=-139.93
16:01:26 [ultranest] [DEBUG] iteration=855, ncalls=1883, logz=-1358.40, remainder_fraction=100.0000%, Lmin=-1348.80, Lmax=-139.93
16:01:26 [ultranest] [DEBUG] iteration=863, ncalls=1912, logz=-1308.79, remainder_fraction=100.0000%, Lmin=-1300.60, Lmax=-139.93
