apec1.kT apec1.Abundanc apec1.norm
4.193799074854824838e+00 2.507026056706461170e-01 7.294825832368025953e-01
4.223058366642661099e+00 2.657856099523529525e-01 1.244283347107419502e+00
4.282979029815624727e+00 2.229599413824222831e-01 9.450920934180374600e-01
4.152946300772579313e+00 2.615497444107765523e-01 1.273512807373156974e+00
4.024935251323254803e+00 1.740039810640783835e-01 6.931442532927876155e-01
4.045870517083801410e+00 2.154898651761825989e-01 8.858810074789110756e-01
4.122811938642984231e+00 2.461131114298751033e-01 1.040887971655126920e+00
4.110369823502247222e+00 2.075146688308298903e-01 1.011665078788468008e+00
4.130614541462620082e+00 2.629992420635577921e-01 8.237323683263090279e-01
3.930363264486099961e+00 2.493062397221671445e-01 3.639518415274036744e-01
4.001326916497186303e+00 2.128678100096725867e-01 1.097867558933286469e+00
4.195270631901083291e+00 1.855120509918662397e-01 1.071995810536543914e+00
4.122976557629914218e+00 1.855500266573186230e-01 7.445731069790185730e-01
4.126515906447113302e+00 2.957861462309381850e-01 1.120166765241382034e+00
3.724796929551053015e+00 1.678904612705193200e-01 1.472611732952120001e+00
3.883929770770181644e+00 3.078717655004033493e-01 1.183663409265351740e+00
3.919318141500153896e+00 3.076323046942832096e-01 1.092727519373026146e+00
4.177331231519383792e+00 2.579512153409176944e-01 8.855381954922726395e-01
4.099325554131820759e+00 1.888102291117392251e-01 1.176566823898743008e+00
4.181682100519124035e+00 1.992568626274316412e-01 8.204902921538809180e-01
4.307538372047600816e+00 2.020908138754718142e-01 8.420050263379443845e-01
4.206343222082072231e+00 2.181979775464886195e-01 1.497620259789587571e+00
4.082873534047963382e+00 2.934238446768786535e-01 1.023311268535607166e+00
4.189952028796719574e+00 2.475583380464539407e-01 8.973726079530147670e-01
3.810000485274645410e+00 2.581218717316712263e-01 1.231016395437931621e+00
4.169815721160069266e+00 2.052720634904484365e-01 1.206932574830642313e+00
4.289006060977131440e+00 2.525787400070442779e-01 9.704925455071377050e-01
4.243155018236286935e+00 2.661897530733526862e-01 9.840997846046792841e-01
4.352114418325971457e+00 2.846579487675686138e-01 1.419691249035790470e+00
4.217176971733080926e+00 1.799960969843333591e-01 5.887962154319034136e-01
4.172376147815420211e+00 2.752505717562008236e-01 9.966389182884427544e-01
4.097175182799345450e+00 2.167840659919968160e-01 1.574433540244260410e+00
4.247121964025100560e+00 1.964558877331880893e-01 9.843426459009728680e-01
3.991790494753409302e+00 2.517851516578872850e-01 6.722314340975265035e-01
4.110348147956035092e+00 2.060897386222830807e-01 6.277800323391169446e-01
4.099908745361775075e+00 2.298962310469130910e-01 9.646967232643396395e-01
3.991245820321025040e+00 2.470637594882621191e-01 5.113608108160314636e-01
4.222161095404899811e+00 2.716133059828735319e-01 9.115080665741799315e-01
4.004363540416839840e+00 1.676393260458462486e-01 9.264989852219073230e-01
4.015616895949780663e+00 2.491737676629734444e-01 7.841950798479776497e-01
4.182575221131455301e+00 2.573551791987744308e-01 8.722954189122630320e-01
4.089586015361086346e+00 2.695174871926346305e-01 1.039747636689525967e+00
4.117650555185687011e+00 2.617494952769497951e-01 4.907434763441753667e-01
4.391474417250268658e+00 2.233820994272055493e-01 8.002910710053289245e-01
3.934376609335376695e+00 2.246628113578622576e-01 1.113697921366178178e+00
3.831690998327730746e+00 2.364212035940665146e-01 1.229083552953883718e+00
3.960111567365511398e+00 2.298318376492674009e-01 1.115179783791930168e+00
4.067372537399370103e+00 3.066125702105205741e-01 8.940045194648724713e-01
3.869798773974348904e+00 2.665826734865437420e-01 6.739883897908105492e-01
4.459286485340934192e+00 2.977627475276268254e-01 4.037737345803794620e-01
3.669793765706198307e+00 3.165497882646337025e-01 7.092555223871191972e-01
3.793410904400821515e+00 2.264844863412783793e-01 7.717530635016784935e-01
3.916500867813124565e+00 1.489597885073214445e-01 1.206043320576565048e+00
3.798075588120284785e+00 2.413416920099510643e-01 1.287847572935070906e+00
4.270646238878867074e+00 2.702823773414030351e-01 1.670530400544453897e+00
4.361140765196843461e+00 2.270883317354838449e-01 3.213589782534361783e-01
3.874933434089382622e+00 2.361070085363580207e-01 1.159024606071110686e+00
4.153311998489347623e+00 2.300024202031646092e-01 9.646694355815786937e-01
3.957429647484288715e+00 2.578569859585228552e-01 8.581795626782415809e-01
3.943053569540805103e+00 2.192450328554674810e-01 1.046014912176151057e+00
4.173677100776303384e+00 2.247252535978885302e-01 8.734570263052955363e-01
4.016082554965333173e+00 3.060902215401085646e-01 2.820099800839294124e-01
4.308757660837412296e+00 1.995023330164716890e-01 1.129246812673904587e+00
3.848922962578646967e+00 2.175249852325527866e-01 1.497666251729920628e+00
3.963796216351925583e+00 2.073057566486748993e-01 8.163938498343502603e-01
3.973269219930577911e+00 1.417212845125969400e-01 1.619619236026475395e+00
4.111842083778209478e+00 3.343268795075738931e-01 1.583374827484709702e+00
3.858164084493242996e+00 2.751191887482430376e-01 8.404073710817699938e-01
4.114227437991008429e+00 1.918192288028975900e-01 1.462069823985513217e+00
4.101948073727384347e+00 2.262398652260189380e-01 7.158139628266656507e-01
4.238916223161062646e+00 2.378456911673455798e-01 8.108641419037837528e-01
4.266922217062531608e+00 2.254965833918221030e-01 1.178490882066066225e+00
3.916117382933263613e+00 3.062659207845198073e-01 9.249509801695814382e-01
3.769611787161221805e+00 2.502396413638383055e-01 3.638146520404641482e-01
4.248093453920749774e+00 2.423279655852333403e-01 1.162853293424104262e+00
4.359716272789355251e+00 2.110731527371290661e-01 1.280077345463463745e+00
4.418267541576294200e+00 2.149394061245338827e-01 9.656933751488174789e-01
3.838927489515475244e+00 2.354010022748622699e-01 1.072694165230043017e+00
4.095816008939891617e+00 1.712216948481314338e-01 8.140855602703939153e-01
4.174328493897339065e+00 2.071512210333645299e-01 1.438037136635595514e+00
4.355803393145350810e+00 2.424384678567193530e-01 1.105961575427582222e+00
4.004032581571180138e+00 2.394071603347319444e-01 1.045893553238336215e+00
4.150259681616204510e+00 2.923021636346322394e-01 3.399179948834100129e-01
4.240844589756806116e+00 1.828100551693075393e-01 1.404596208432526971e+00
3.998387142055280563e+00 2.515804860659817122e-01 1.463489640148882831e-01
4.247834334938955791e+00 3.563691321533594136e-01 2.561857296053249300e-01
4.137025172454516841e+00 1.959888890705355768e-01 7.201881696791690990e-01
4.097889647705750704e+00 1.999419608841421780e-01 1.125384214345717115e+00
4.032294955563501482e+00 2.806960525433788156e-01 1.017303806477813266e+00
4.279921224202092311e+00 2.292905286391856701e-01 9.557591146108289637e-01
4.002335388745207112e+00 2.873786759307071503e-01 6.273022895323683290e-01
3.988773117516949185e+00 2.378539184028136688e-01 1.657248256196890424e-01
