weight logl apec1.kT apec1.Abundanc apec1.norm
9.946187601303603998e-140 -3.257947504042130618e+02 9.815222588203159626e-01 2.642010421512569485e-01 8.865524787107297300e-01
4.507149207633912864e-139 -3.242811897844040914e+02 5.998838716372166813e-01 7.334467130940558466e-02 9.033024006203891343e-01
4.813801807816904354e-139 -3.242128674647644857e+02 7.960537779417591331e-01 2.296367888221467757e-01 8.910310087409264446e-01
4.136804680387760939e-138 -3.220593458668225253e+02 4.517300433102838797e-01 5.262988679385627311e-02 9.050402485336191960e-01
7.671552631077352953e-138 -3.214392505163471583e+02 8.920323001845950062e-01 7.742161116395654963e-01 8.684209725370234390e-01
3.634472566834111716e-137 -3.198812204454055745e+02 4.367771046189180550e-01 4.656448382158617783e-01 8.833677353970181834e-01
6.645880436295951123e-136 -3.169726021748916764e+02 6.750682453361435131e-01 9.314599093839422972e-01 8.582855914186146018e-01
9.608870044999549982e-136 -3.166014127194331422e+02 6.706144720469964238e-01 2.338578051133508584e-01 8.834502371639181284e-01
1.729079212594728913e-135 -3.160114252415816622e+02 3.793889004706771928e-01 6.771174888546158677e-01 8.725760410505962739e-01
5.400531459112795590e-135 -3.148700168942608570e+02 3.586487053634178634e-01 6.093286904887530442e-01 8.736069177609064873e-01
4.196613509834886051e-134 -3.128171512754818195e+02 6.087483173220079591e-01 5.215360171965700564e-01 8.703212999992400167e-01
8.835535916329755852e-134 -3.120701474060882674e+02 5.541778275850677282e-01 4.832257031886850740e-01 8.712381797603552247e-01
1.040293277444442021e-132 -3.096017563114182281e+02 3.196559228910323958e-01 2.801232099738525383e-01 8.779528432966394735e-01
7.148071469964439864e-132 -3.076719163865171822e+02 3.789567313909133484e-01 7.832945185840279878e-01 8.580419061117889878e-01
1.225368902200791938e-131 -3.071304319460509191e+02 8.707754553769886385e-02 8.755586417222176454e-01 8.575807815006966095e-01
1.697682581820882991e-131 -3.068019097554532664e+02 9.092462275727759557e-01 7.665302114735813577e-01 8.497421579372081979e-01
2.386525561084307491e-131 -3.064588353212604375e+02 2.127576317346063783e-01 4.674912020041531724e-01 8.694277436529760372e-01
1.525521495824117203e-130 -3.046012524802946473e+02 6.815433363979712666e-01 1.561753142212058965e-01 8.709822108801091867e-01
2.797838244814973086e-128 -2.993870715468145818e+02 7.152190641311726438e-01 9.944880152612840529e-01 8.241801220195619226e-01
5.853499510615004411e-128 -2.986463789210521895e+02 8.651194130940170757e-01 1.910109811370811483e-01 8.577696936749151790e-01
3.725897030920196479e-127 -2.967930258808797817e+02 4.274715709359833138e-02 8.754340666202300447e-01 8.457245459243716290e-01
1.641494063088564087e-126 -2.953076415832031216e+02 8.911551575998756247e-01 9.138251022770426113e-01 8.287487742208416996e-01
1.069714069579480107e-125 -2.934307719433312514e+02 6.648704471920174885e-01 6.393954712388759676e-01 8.408708671202328455e-01
1.296533568850704367e-125 -2.932359691138389053e+02 5.723366998727893451e-01 1.861516174282010772e-01 8.562014454556750032e-01
4.774585142918421146e-125 -2.919298562423080057e+02 4.692528152741927139e-01 4.203225239675979497e-01 8.478329991172809388e-01
2.197629079371689330e-124 -2.904006991503651989e+02 5.684239180055774554e-01 1.470977580197951884e-02 8.676520529275800753e-01
2.475253663695823679e-124 -2.902792353572570505e+02 9.888564508428071553e-01 5.705965268304409310e-01 8.317790559042482768e-01
3.153348186205369956e-123 -2.877320283408163277e+02 9.944782663260213207e-01 4.658008413578058615e-01 8.304321516879089593e-01
9.078399565879251819e-123 -2.866720952276007210e+02 2.695131280060168999e-01 4.724101038814960685e-01 8.420342237068851876e-01
2.138509319069390158e-122 -2.858127990459848320e+02 5.140464925730825474e-01 3.972365084335186536e-01 8.396982534054885372e-01
8.857306104982084077e-121 -2.820865802923983665e+02 4.743810390419803680e-01 9.686250434280395671e-01 8.114201877452582590e-01
1.335131656615853014e-118 -2.770685377742662467e+02 3.025589906713921362e-02 6.894285937231208194e-01 8.282481770134058063e-01
1.543620583870215367e-118 -2.769209369948745803e+02 2.030895093862539191e-02 1.463519193585383071e-01 8.488113601383879825e-01
2.192482096401753059e-118 -2.765675334010501842e+02 5.399117312850240102e-01 9.181412941502231639e-02 8.389503518185403852e-01
2.613081427880172334e-118 -2.763895375317883918e+02 7.918524245715823362e-01 3.479713820387836387e-01 8.241437436982501641e-01
2.281878545159386975e-115 -2.696148133744182473e+02 2.874458951733568357e-01 7.806849089003864428e-01 8.087066618568946597e-01
2.290856947783062071e-115 -2.696083864408900013e+02 7.636281035005142437e-01 3.727972219322110980e-01 8.145770446799582842e-01
5.216310608418017955e-115 -2.687830220294503647e+02 1.288639905646314920e-01 3.857192613262722114e-01 8.227256126468657227e-01
6.566454766776619945e-115 -2.685503383239252457e+02 9.610011134134588406e-01 6.214486510750224513e-01 8.024009903998770010e-01
1.212699637706195761e-113 -2.656317932355427160e+02 6.709934546146938406e-01 3.012076432900742118e-01 8.126072614213485368e-01
1.346830232124436996e-113 -2.655243883600458616e+02 8.199392538875205361e-02 2.744784511850615338e-01 8.232455314243711797e-01
3.084741983980199168e-113 -2.646931741972766758e+02 7.791658523431714833e-01 3.291735757444113064e-01 8.086931712995486521e-01
3.244303853800230258e-112 -2.623376563242131851e+02 8.746695664927234271e-01 4.066862818823830938e-01 8.012473180156680641e-01
5.978270707238429614e-112 -2.617239257757289579e+02 3.976148890569483063e-01 8.393630346048240876e-01 7.940583200892912252e-01
7.134700683606946013e-112 -2.615445868228711674e+02 9.963914355885744589e-01 3.848944961652875918e-01 7.963585673053711345e-01
1.801561099882935422e-111 -2.606158184627386163e+02 1.269939539734981082e-01 2.944407585865060906e-01 8.141798316420251203e-01
1.724485468313689141e-110 -2.583544582097406419e+02 5.656299827714966755e-01 3.689792525383509547e-01 8.017471844153766236e-01
2.167132852204665055e-110 -2.581234819088460881e+02 2.571053200921463722e-01 5.478411023147444769e-02 8.203933921427594145e-01
3.305886312781912431e-110 -2.576986823258321238e+02 7.260529771669046450e-01 8.895818217737924138e-01 7.824004335326197879e-01
4.385074437912467828e-110 -2.574136803352326979e+02 4.766378165187804550e-01 9.794533125293926057e-01 7.761127232582130109e-01
2.451384433994189351e-109 -2.556901489034358974e+02 4.588401699580292314e-01 8.981127271472784113e-01 7.819822360542031392e-01
1.107108427538956302e-108 -2.541799651543836660e+02 3.497891751867657772e-01 2.168763494172349926e-01 8.036516885396111087e-01
6.493635447844076018e-108 -2.524083942151640088e+02 6.268983084603909628e-01 7.868308114979026824e-01 7.805408430348216298e-01
1.379470245521036747e-106 -2.493498470191041463e+02 2.210011676868290920e-01 2.781170185807725348e-01 7.964530648710370642e-01
1.120457266290853956e-105 -2.472527245960611424e+02 3.978193269071257365e-01 5.009472290476787437e-01 7.842305382678876891e-01
2.264470509183056707e-104 -2.442440354177008999e+02 4.311878849339223496e-01 6.860059717541217017e-01 7.742796985430240309e-01
7.328558346244084396e-103 -2.407645124675261741e+02 2.210476834922352474e-01 5.107062515683337134e-01 7.768949143568664173e-01
8.177190523003251112e-102 -2.383498575577647784e+02 7.976084453482341630e-01 1.566521002773353377e-01 7.760914214300767000e-01
3.160749474002772679e-100 -2.346927268317564312e+02 6.864937156822829012e-01 1.991881692783301627e-01 7.708133917726639472e-01
3.548384496705811240e-100 -2.345745435779905108e+02 7.887425110011426765e-01 6.884910382256922423e-01 7.556840493635351708e-01
3.344803566956569810e-99 -2.323285429460787839e+02 5.182124551501243737e-01 5.804130595379988211e-01 7.586666183838122191e-01
5.711630737954366886e-99 -2.317909463373260053e+02 5.950209123757768115e-01 7.789142917972268210e-01 7.512634522481193011e-01
2.843087587640597615e-98 -2.301834751801939092e+02 1.478463583228748490e-01 5.729803168004826697e-01 7.606349464573810559e-01
7.313694833355366813e-98 -2.292361172253381767e+02 1.490452243147937228e-01 2.298264884753135062e-01 7.694275737459137510e-01
2.718394733384587523e-97 -2.279207391930304993e+02 6.203059802883433838e-01 4.025191567000530046e-02 7.708810670755019689e-01
3.683713747893222520e-97 -2.276143593136351626e+02 7.694040657477159151e-01 7.385509341437028752e-01 7.441920665490567854e-01
2.910430019937374195e-96 -2.255448947911343964e+02 7.615952832906365266e-01 9.983403454413838363e-01 7.195531620212760604e-01
3.956205776005814673e-96 -2.252354102059876766e+02 6.713510684694458108e-01 3.021209896061605171e-02 7.672454875802301455e-01
2.546057411803502718e-95 -2.233710644918947708e+02 3.856765345787854793e-01 7.239899338682884711e-01 7.426284221060021062e-01
1.220609838664251244e-94 -2.218011748469762097e+02 5.013201328083687347e-01 2.789867428138248506e-03 7.741261414960176612e-01
8.586395967032860677e-94 -2.198478463620940602e+02 4.276521183416729377e-01 5.802100662145198706e-01 7.407646444138851205e-01
1.349137133268500966e-93 -2.193934751280343391e+02 2.273731141519159671e-01 2.340202972473519605e-01 7.524943670126666984e-01
3.019696689778118898e-93 -2.185852839630979929e+02 2.995836135373013409e-01 8.077262862525262932e-01 7.334865552469175265e-01
7.355704935904851780e-93 -2.176924641616854217e+02 8.245614717887408407e-01 1.654529249851537376e-01 7.436319969096047977e-01
8.944157195036470481e-93 -2.174944398638606913e+02 9.865247404935628683e-01 1.028490750221920935e-01 7.415901319281010817e-01
1.101249907397736350e-92 -2.172839094484186830e+02 2.324704846485295962e-01 6.994359055715693163e-01 7.359020911842510948e-01
1.395722879077980141e-92 -2.170444427886534129e+02 3.826475039991390492e-01 4.983163546770613683e-01 7.390610472333678516e-01
2.206869175651726336e-92 -2.165837804140851404e+02 6.670667705619296450e-01 1.152394802432569199e-01 7.468048310243295962e-01
4.527134861001714076e-90 -2.112575958182311240e+02 1.196179393722618389e-01 7.896925753493916345e-01 7.254013622364224867e-01
