14:47:27 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:48:23 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:12:33 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:18:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:12 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:55 [ultranest] [DEBUG] ReactiveNestedSampler: dims=2+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:55 [ultranest] [INFO] Sampling 400 live points from prior ...
15:20:58 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
15:20:58 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
15:20:58 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
15:21:03 [ultranest] [DEBUG] iteration=599, ncalls=1104, logz=-30431900106447727202664448.00, remainder_fraction=100.0000%, Lmin=-30323319223007301974622208.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=600, ncalls=1106, logz=-30323319223007301974622208.00, remainder_fraction=100.0000%, Lmin=-30182834071886106873298944.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=613, ncalls=1121, logz=-28895773614898027960467456.00, remainder_fraction=100.0000%, Lmin=-28870049799000792397512704.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=628, ncalls=1136, logz=-28180114361956312939495424.00, remainder_fraction=100.0000%, Lmin=-28072178765346565177475072.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=630, ncalls=1138, logz=-27948192410023004576153600.00, remainder_fraction=100.0000%, Lmin=-27929966896538300201304064.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=640, ncalls=1149, logz=-26891212159851085770522624.00, remainder_fraction=100.0000%, Lmin=-26853285571499818125099008.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=654, ncalls=1164, logz=-25896761910960375174529024.00, remainder_fraction=100.0000%, Lmin=-25841187737609731909353472.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=668, ncalls=1179, logz=-25077327853080274930761728.00, remainder_fraction=100.0000%, Lmin=-25034135370804521615753216.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=680, ncalls=1191, logz=-24350660838675021113065472.00, remainder_fraction=100.0000%, Lmin=-24330282631321746273206272.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=695, ncalls=1206, logz=-23576761591165981737091072.00, remainder_fraction=100.0000%, Lmin=-23570313335419324363440128.00, Lmax=-43845968134109774479360.00
15:21:04 [ultranest] [DEBUG] iteration=707, ncalls=1221, logz=-23023405062444395154898944.00, remainder_fraction=100.0000%, Lmin=-23004327174126556560752640.00, Lmax=-32412655919739583856640.00
15:21:04 [ultranest] [DEBUG] iteration=720, ncalls=1234, logz=-22526496218271365067702272.00, remainder_fraction=100.0000%, Lmin=-22523179201601063197081600.00, Lmax=-32412655919739583856640.00
15:21:04 [ultranest] [DEBUG] iteration=732, ncalls=1248, logz=-21796310933471490083913728.00, remainder_fraction=100.0000%, Lmin=-21754327361027315641352192.00, Lmax=-32412655919739583856640.00
15:21:04 [ultranest] [DEBUG] iteration=747, ncalls=1263, logz=-20685448480851072846397440.00, remainder_fraction=100.0000%, Lmin=-20665336225348564927119360.00, Lmax=-32412655919739583856640.00
15:21:04 [ultranest] [DEBUG] iteration=760, ncalls=1277, logz=-20165852581280207417114624.00, remainder_fraction=100.0000%, Lmin=-20156671519138658539012096.00, Lmax=-32412655919739583856640.00
15:21:04 [ultranest] [DEBUG] iteration=775, ncalls=1292, logz=-19468867217260521921183744.00, remainder_fraction=100.0000%, Lmin=-19466545558758449502748672.00, Lmax=-32412655919739583856640.00
15:21:04 [ultranest] [DEBUG] iteration=789, ncalls=1307, logz=-18980439284375964673376256.00, remainder_fraction=100.0000%, Lmin=-18963404665332480006422528.00, Lmax=-32412655919739583856640.00
15:21:04 [ultranest] [DEBUG] iteration=800, ncalls=1319, logz=-18464164088047724799197184.00, remainder_fraction=100.0000%, Lmin=-18241767267047447472373760.00, Lmax=-32412655919739583856640.00
15:21:04 [ultranest] [DEBUG] iteration=810, ncalls=1332, logz=-17977512405956011273224192.00, remainder_fraction=100.0000%, Lmin=-17911513271583558114213888.00, Lmax=-32412655919739583856640.00
15:21:04 [ultranest] [DEBUG] iteration=823, ncalls=1346, logz=-17292841160229720569151488.00, remainder_fraction=100.0000%, Lmin=-17177808509979460582244352.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=837, ncalls=1361, logz=-16678834125805005913980928.00, remainder_fraction=100.0000%, Lmin=-16667054060632444529278976.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=840, ncalls=1364, logz=-16512712997206561768079360.00, remainder_fraction=100.0000%, Lmin=-16501183978571463015792640.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=851, ncalls=1377, logz=-15897161018586764045975552.00, remainder_fraction=100.0000%, Lmin=-15868317556092093033611264.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=861, ncalls=1389, logz=-15487379231179061724184576.00, remainder_fraction=100.0000%, Lmin=-15304347646704909385990144.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=874, ncalls=1403, logz=-14582912296240998005080064.00, remainder_fraction=100.0000%, Lmin=-14492057013726045752262656.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=880, ncalls=1410, logz=-14407937238390717001236480.00, remainder_fraction=100.0000%, Lmin=-14305355772341761001652224.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=892, ncalls=1425, logz=-14020852491691952181346304.00, remainder_fraction=100.0000%, Lmin=-13903913785291986041831424.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=900, ncalls=1433, logz=-13625964392762969430163456.00, remainder_fraction=100.0000%, Lmin=-13597324285516557265666048.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=913, ncalls=1448, logz=-13194177461678339218472960.00, remainder_fraction=100.0000%, Lmin=-13189334181757948214116352.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=920, ncalls=1455, logz=-12872656413835336217526272.00, remainder_fraction=100.0000%, Lmin=-12810276389763562310991872.00, Lmax=-32412655919739583856640.00
15:21:05 [ultranest] [DEBUG] iteration=936, ncalls=1471, logz=-12340463947048677000871936.00, remainder_fraction=100.0000%, Lmin=-12304806839233302801416192.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=951, ncalls=1487, logz=-11753433270353232452911104.00, remainder_fraction=100.0000%, Lmin=-11752457169064828344467456.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=960, ncalls=1497, logz=-11624912436923903177129984.00, remainder_fraction=100.0000%, Lmin=-11582537210380970740416512.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=974, ncalls=1512, logz=-11183637807654490723057664.00, remainder_fraction=100.0000%, Lmin=-11145352509892950346432512.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=988, ncalls=1528, logz=-10686854978961839660990464.00, remainder_fraction=100.0000%, Lmin=-10656695614822525284909056.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=999, ncalls=1539, logz=-10390678715133472635092992.00, remainder_fraction=100.0000%, Lmin=-10328031806592743787986944.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=1000, ncalls=1540, logz=-10328031806592743787986944.00, remainder_fraction=100.0000%, Lmin=-10308805057788213737816064.00, Lmax=-32412655919739583856640.00
